"";"Year";"Mo";"Da";"Ho";"Area";"Lat";"Lon";"Dep";"M"
"122";1600;2;19;10;"[Peru]";-16,77;-70,9;20;7,9
"123";1600;2;28;20;"[Peru]";-16,6;-70,8;20;8,1
"124";1600;9;29;NA;"Nan'ao (Guangdong)";23,5;117,2;NA;7
"125";1604;11;24;18;"[Peru]";-17,88;-70,94;80;8,25
"126";1604;12;29;NA;"Offshore Quanzhou (Fujian)";24,7;119;NA;7,5
"127";1605;2;3;20;"Tokai, Nankai and Saikai roads";33,5;138,5;NA;7,9
"128";1605;7;13;NA;"Qiongshan (Hainan)";20;110,5;NA;7,5
"129";1606;3;23;20;"[Peru]";-7;-80,3;40;6,5
"130";1606;10;25;13;"[Peru]";-11,8;-77,8;60;6,8
"131";1608;4;20;NA;"Taliqan";36,4;50,5;NA;7,6
"132";1609;NA;NA;NA;"[Nicaragua]";12,42;-86,55;NA;7,2
"133";1609;4;NA;NA;"Rhodos";36,2;29;NA;7,2
"134";1609;7;11;NA;"Jiuquan and Hongyapu (Gansu)";39,2;99;NA;7,25
"135";1609;10;20;1;"[Peru]";-11,9;-77,4;55;7,4
"136";1610;2;3;NA;"[Venezuela]";8,45;-71,65;NA;7,6
"137";1611;8;31;NA;"Oaxaca";17,825;-97,64;NA;7,4
"138";1611;12;2;14;"Sanriku, E coast of Hokkaido";39;144;NA;8,1
"139";1612;11;8;NA;"Heraklio";35;23,8;NA;7,2
"140";1614;11;26;NA;"Japan";37,5;138;NA;7,7
"141";1615;9;8;NA;"[Dominican Republic]";18,4;-69,9;30;7,5
"142";1615;9;16;NA;"[Chile]";-18,5;-70,35;NA;7,5
"143";1616;2;NA;NA;"[Colombia]";5;-74;NA;7
"144";1616;9;9;15;"Sendai";38,1;142;NA;7
"145";1619;2;14;16;"[Peru]";-8,9;-79,3;50;7,85
"146";1619;11;30;16;"Philippines";18,5;121,6;NA;8
"147";1621;5;2;NA;"Pedro Miguel Fault, canal area";8,97;-79,55;NA;6,9
"148";1621;12;NA;NA;"Philippines";11,7;122,1;NA;7,2
"149";1622;10;25;NA;"N of Guyuan (Ningxia)";36,5;106,3;NA;7
"150";1624;5;11;NA;"Fès";34,26;-4,57;NA;6,7
"151";1626;1;21;NA;"[Syria]";36,5;37,1;20;7,3
"152";1626;6;28;NA;"Lingqiu (Shanxi)";39,4;114,2;NA;7
"153";1627;9;NA;NA;"Philippines";18,7;121,8;NA;7,5
"154";1629;8;1;1;"Indonesia";-4,3;129,6;NA;8,8
"155";1630;3;9;9;"Crete";35;23,7;NA;7,3
"156";1630;11;27;15;"[Peru]";-12,2;-77,5;30;7,5
