"";"Year";"Mo";"Da";"Ho";"Area";"Lat";"Lon";"Dep";"M"
"770";1900;9;17;21;"[Papua New Guinea]";-5;148;NA;7,1
"771";1900;10;7;21;"Indonesia";-2,2;135,5;NA;7
"772";1900;10;9;12;"[United States/Canada]";58,39;-152,42;NA;7,69
"773";1900;10;29;9;"Macuto";10,52;-66,2;NA;7,7
"774";1900;11;9;16;"[El Salvador]";13;-90;0;7
"775";1900;11;24;7;"[Russia]";43,5;148;35;7
"776";1900;12;25;14;"Nemuro offshore";43;146;NA;7,1
"777";1901;1;7;0;"[Ecuador]";-2;-82;0;7,2
"778";1901;1;18;4;"[Canada]";60;-135;0;7,1
"779";1901;3;5;10;"[Mexico]";25;-110;0;6,9
"780";1901;3;16;11;"Usango";-7;35;NA;6,9
"781";1901;3;31;7;"Bulgaria";43,4;28,7;14;7,2
"782";1901;4;5;22;"Kuril Islands";45;148;30;7,5
"783";1901;5;25;0;"[Solomon Islands]";-10;160;NA;7,2
"784";1901;6;15;18;"Iwate Pref. offshore";39;143;NA;7
"785";1901;6;24;16;"Amami Oshima Isl. offshore";28;130;NA;7,5
"786";1901;8;9;18;"E side of Aomori Pref. offshore";40,5;142,5;NA;7,2
"787";1901;8;9;13;"Vanuatu";-22;170;NA;7,9
"788";1901;8;10;3;"E side of Aomori Pref.";40,6;142,3;NA;7,4
"789";1901;10;8;NA;"Subducction";11;-87,5;20;7
"790";1901;11;21;19;"[Peru]";-14,177;-76,32;80;6,7
"791";1901;11;25;1;"[Indonesia]";3;127;NA;7
"792";1901;12;9;2;"[Mexico]";26;-110;0;7,1
"793";1901;12;14;22;"[Philippines]";14;122;NA;7
"794";1901;12;31;9;"[United States]";52;-177;0;7,1
"795";1902;1;1;5;"[United States]";55;-165;0;7
"796";1902;1;2;14;"[Peru]";-9;-78,4;80;6,8
"797";1902;1;12;22;"[Indonesia]";3;122;NA;7
"798";1902;1;16;NA;"[Mexico]";17,62;-99,72;0;7
"799";1902;1;18;NA;"Costa Cuca";14,667;-91,667;NA;6,7
"800";1902;1;24;23;"Papua New Guinea";-8;150;NA;7,2
"801";1902;1;30;23;"E side of Aomori Pref.";40,5;141,3;NA;7
"802";1902;2;17;0;"[Dominican Republic]";20;-70;0;6,9
"803";1902;2;26;NA;"Acajutla";13,59;-89,833;NA;8
"804";1902;3;5;19;"[Chile]";-20;-70;0;6,8
"805";1902;4;19;2;"[Guatemala]";14;-91;0;7,47
"806";1902;5;2;11;"Japan";39;144;35;7
"807";1902;6;11;5;"Kuril Islands";50;148;600;8
"808";1902;8;22;11;"N of Artux (Xinjiang)";39,9;76,2;NA;8,25
"809";1902;9;22;1;"Guam";18;146;NA;7,5
"810";1902;9;23;20;"[Mexico]";16;-93;0;7,81
"811";1902;10;6;9;"Middle Asia, Kazakhstan";36,5;70,5;200;7,2
"812";1902;12;12;23;"[Mexico]";29;-114;0;7,1
"813";1903;1;4;5;"Tonga";-20;-175;NA;7,8
"814";1903;1;14;NA;"[Mexico]";15;-93;NA;7,69
"815";1903;1;17;16;"[United States]";50;-170;0;7
"816";1903;2;1;9;"Mongolia";43,4;104,4;30;7,5
"817";1903;2;6;7;"Mongolia";43,4;104,4;33;7
"818";1903;2;27;0;"Indonesia";-6;106;NA;7,3
"819";1903;4;28;23;"Turkey";39,1;42,6;NA;7,02
"820";1903;5;13;6;"Vanuatu";-17;168;NA;7
"821";1903;6;2;13;"[United States]";61,78;-157,72;NA;6,9
"822";1903;6;4;14;"L. Albert";2;31;NA;6,4
